abuts,Missing Term,46
abuts,TB_Match_Not_Tagged,14
abuts,Tagged,28
abuts,Terms Not Same Sentece,22
element,Missing Term,307
element,TB_Match_Not_Tagged,20
element,Tagged,89
element,Terms Not Same Sentece,81
has-part,Missing Term,1972
has-part,Synonym Tagged,14
has-part,TB_Match_Not_Tagged,137
has-part,Tagged,573
has-part,Terms Not Same Sentece,1585
has-region,Missing Term,765
has-region,Synonym Tagged,5
has-region,TB_Match_Not_Tagged,31
has-region,Tagged,144
has-region,Terms Not Same Sentece,616
is-at,Missing Term,148
is-at,TB_Match_Not_Tagged,8
is-at,Tagged,44
is-at,Terms Not Same Sentece,46
is-inside,Missing Term,262
is-inside,Synonym Tagged,2
is-inside,TB_Match_Not_Tagged,29
is-inside,Tagged,105
is-inside,Terms Not Same Sentece,206
is-outside,Missing Term,87
is-outside,TB_Match_Not_Tagged,6
is-outside,Tagged,23
is-outside,Terms Not Same Sentece,50
possesses,Missing Term,353
possesses,TB_Match_Not_Tagged,12
possesses,Tagged,43
possesses,Terms Not Same Sentece,376
subclass-of,Missing Term,4052
subclass-of,TB_Match_Not_Tagged,581
subclass-of,Tagged,643
subclass-of,Terms Not Same Sentece,1465
